"filename", "language", "C", "Markdown", "C++", "Makefile", "comment", "blank", "total"
"/Users/tmiranda/mimibash/Libft/Makefile", "Makefile", 0, 0, 0, 66, 13, 16, 95
"/Users/tmiranda/mimibash/Libft/ft_atoi.c", "C", 34, 0, 0, 0, 11, 4, 49
"/Users/tmiranda/mimibash/Libft/ft_bzero.c", "C", 13, 0, 0, 0, 11, 4, 28
"/Users/tmiranda/mimibash/Libft/ft_calloc.c", "C", 10, 0, 0, 0, 11, 4, 25
"/Users/tmiranda/mimibash/Libft/ft_isalnum.c", "C", 7, 0, 0, 0, 11, 2, 20
"/Users/tmiranda/mimibash/Libft/ft_isalpha.c", "C", 7, 0, 0, 0, 11, 2, 20
"/Users/tmiranda/mimibash/Libft/ft_isascii.c", "C", 7, 0, 0, 0, 11, 2, 20
"/Users/tmiranda/mimibash/Libft/ft_isdigit.c", "C", 7, 0, 0, 0, 11, 2, 20
"/Users/tmiranda/mimibash/Libft/ft_isprint.c", "C", 7, 0, 0, 0, 11, 2, 20
"/Users/tmiranda/mimibash/Libft/ft_itoa.c", "C", 47, 0, 0, 0, 11, 7, 65
"/Users/tmiranda/mimibash/Libft/ft_lstadd_back.c", "C", 15, 0, 0, 0, 11, 4, 30
"/Users/tmiranda/mimibash/Libft/ft_lstadd_front.c", "C", 8, 0, 0, 0, 11, 4, 23
"/Users/tmiranda/mimibash/Libft/ft_lstclear.c", "C", 11, 0, 0, 0, 11, 4, 26
"/Users/tmiranda/mimibash/Libft/ft_lstdelone.c", "C", 6, 0, 0, 0, 11, 3, 20
"/Users/tmiranda/mimibash/Libft/ft_lstiter.c", "C", 9, 0, 0, 0, 11, 3, 23
"/Users/tmiranda/mimibash/Libft/ft_lstlast.c", "C", 9, 0, 0, 0, 11, 3, 23
"/Users/tmiranda/mimibash/Libft/ft_lstnew.c", "C", 12, 0, 0, 0, 11, 4, 27
"/Users/tmiranda/mimibash/Libft/ft_lstsize.c", "C", 12, 0, 0, 0, 11, 4, 27
"/Users/tmiranda/mimibash/Libft/ft_memccpy.c", "C", 18, 0, 0, 0, 11, 4, 33
"/Users/tmiranda/mimibash/Libft/ft_memchr.c", "C", 15, 0, 0, 0, 11, 4, 30
"/Users/tmiranda/mimibash/Libft/ft_memcmp.c", "C", 17, 0, 0, 0, 11, 4, 32
"/Users/tmiranda/mimibash/Libft/ft_memcpy.c", "C", 18, 0, 0, 0, 11, 4, 33
"/Users/tmiranda/mimibash/Libft/ft_memmove.c", "C", 28, 0, 0, 0, 11, 4, 43
"/Users/tmiranda/mimibash/Libft/ft_memset.c", "C", 14, 0, 0, 0, 11, 4, 29
"/Users/tmiranda/mimibash/Libft/ft_putchar_fd.c", "C", 5, 0, 0, 0, 11, 3, 19
"/Users/tmiranda/mimibash/Libft/ft_putendl_fd.c", "C", 8, 0, 0, 0, 11, 3, 22
"/Users/tmiranda/mimibash/Libft/ft_putnbr_fd.c", "C", 28, 0, 0, 0, 11, 4, 43
"/Users/tmiranda/mimibash/Libft/ft_putstr_fd.c", "C", 7, 0, 0, 0, 11, 3, 21
"/Users/tmiranda/mimibash/Libft/ft_split.c", "C", 62, 0, 0, 0, 11, 10, 83
"/Users/tmiranda/mimibash/Libft/ft_strchr.c", "C", 14, 0, 0, 0, 11, 3, 28
"/Users/tmiranda/mimibash/Libft/ft_strdup.c", "C", 19, 0, 0, 0, 11, 4, 34
"/Users/tmiranda/mimibash/Libft/ft_strjoin.c", "C", 35, 0, 0, 0, 11, 5, 51
"/Users/tmiranda/mimibash/Libft/ft_strlcat.c", "C", 25, 0, 0, 0, 11, 4, 40
"/Users/tmiranda/mimibash/Libft/ft_strlcpy.c", "C", 18, 0, 0, 0, 11, 4, 33
"/Users/tmiranda/mimibash/Libft/ft_strlen.c", "C", 9, 0, 0, 0, 11, 4, 24
"/Users/tmiranda/mimibash/Libft/ft_strmapi.c", "C", 21, 0, 0, 0, 11, 4, 36
"/Users/tmiranda/mimibash/Libft/ft_strncmp.c", "C", 25, 0, 0, 0, 11, 4, 40
"/Users/tmiranda/mimibash/Libft/ft_strnstr.c", "C", 26, 0, 0, 0, 11, 4, 41
"/Users/tmiranda/mimibash/Libft/ft_strrchr.c", "C", 13, 0, 0, 0, 11, 4, 28
"/Users/tmiranda/mimibash/Libft/ft_strtrim.c", "C", 29, 0, 0, 0, 11, 4, 44
"/Users/tmiranda/mimibash/Libft/ft_substr.c", "C", 34, 0, 0, 0, 11, 4, 49
"/Users/tmiranda/mimibash/Libft/ft_tolower.c", "C", 6, 0, 0, 0, 11, 2, 19
"/Users/tmiranda/mimibash/Libft/ft_toupper.c", "C", 6, 0, 0, 0, 11, 2, 19
"/Users/tmiranda/mimibash/Libft/libft.h", "C++", 0, 0, 56, 0, 11, 5, 72
"/Users/tmiranda/mimibash/Makefile", "Makefile", 0, 0, 0, 21, 0, 11, 32
"/Users/tmiranda/mimibash/README.md", "Markdown", 0, 7, 0, 0, 0, 6, 13
"/Users/tmiranda/mimibash/add_back_lst.c", "C", 58, 0, 0, 0, 0, 9, 67
"/Users/tmiranda/mimibash/arr.c", "C", 42, 0, 0, 0, 0, 7, 49
"/Users/tmiranda/mimibash/builtins.c", "C", 128, 0, 0, 0, 0, 15, 143
"/Users/tmiranda/mimibash/builtins.h", "C++", 0, 0, 31, 0, 3, 10, 44
"/Users/tmiranda/mimibash/check_builtins.c", "C", 31, 0, 0, 0, 0, 3, 34
"/Users/tmiranda/mimibash/error.c", "C", 18, 0, 0, 0, 0, 3, 21
"/Users/tmiranda/mimibash/exec_cmd.c", "C", 64, 0, 0, 0, 0, 7, 71
"/Users/tmiranda/mimibash/exec_cmd_utils.c", "C", 84, 0, 0, 0, 0, 10, 94
"/Users/tmiranda/mimibash/export_unset_utils.c", "C", 83, 0, 0, 0, 0, 9, 92
"/Users/tmiranda/mimibash/get_builtins.c", "C", 39, 0, 0, 0, 2, 4, 45
"/Users/tmiranda/mimibash/handle_signal.c", "C", 23, 0, 0, 0, 1, 5, 29
"/Users/tmiranda/mimibash/init.c", "C", 60, 0, 0, 0, 0, 8, 68
"/Users/tmiranda/mimibash/main.c", "C", 31, 0, 0, 0, 8, 4, 43
"/Users/tmiranda/mimibash/mimibash.h", "C++", 0, 0, 88, 0, 11, 27, 126
"/Users/tmiranda/mimibash/new_split.c", "C", 82, 0, 0, 0, 14, 10, 106
"/Users/tmiranda/mimibash/parse_redir.c", "C", 154, 0, 0, 0, 23, 9, 186
"/Users/tmiranda/mimibash/parser.c", "C", 63, 0, 0, 0, 66, 13, 142
"/Users/tmiranda/mimibash/pipesplit.c", "C", 80, 0, 0, 0, 0, 5, 85
"/Users/tmiranda/mimibash/print_sorted_env.c", "C", 115, 0, 0, 0, 0, 11, 126
"/Users/tmiranda/mimibash/remove_n.c", "C", 43, 0, 0, 0, 2, 2, 47
"/Users/tmiranda/mimibash/shielding.c", "C", 103, 0, 0, 0, 0, 4, 107
"/Users/tmiranda/mimibash/shielding_utils.c", "C", 78, 0, 0, 0, 0, 4, 82
"/Users/tmiranda/mimibash/split_line.c", "C", 104, 0, 0, 0, 0, 11, 115
"/Users/tmiranda/mimibash/take_cmd_path.c", "C", 83, 0, 0, 0, 0, 9, 92
"/Users/tmiranda/mimibash/utils.c", "C", 17, 0, 0, 0, 11, 6, 34
"Total", "-", 2304, 7, 175, 87, 627, 400, 3600
